City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,port mathurin,-19.6833,63.4167,22.11,73,5,6.41,MU,1722820589
84,tura,25.5198,90.2201,25.5,94,100,1.46,IN,1722820731
85,tabou,4.423,-7.3528,24.32,84,100,2.58,CI,1722820733
86,portland,45.5234,-122.6762,33.89,38,20,3.6,US,1722820442
87,klyuchi,52.2667,79.1667,20.31,65,31,3.12,RU,1722820735
88,nova vicosa,-17.8919,-39.3719,22.34,87,6,3.22,BR,1722820736
89,hermanus,-34.4187,19.2345,9.89,67,70,8.16,ZA,1722820645
90,ushuaia,-54.8,-68.3,-1.19,69,75,3.6,AR,1722820628
91,talnakh,69.4865,88.3972,12.33,54,0,5.41,RU,1722820740
92,san juan,-31.5375,-68.5364,14.29,25,1,0.38,AR,1722820431
93,shingu,33.7333,135.9833,30.42,70,14,2.02,JP,1722820742
94,ciudad lazaro cardenas,17.9583,-102.2,27.97,80,100,3.48,MX,1722820694
95,blackmans bay,-43.0167,147.3167,13.07,61,8,0.89,AU,1722820430
96,kisesa,-3.0833,34.15,17.15,49,29,3.53,TZ,1722820746
97,phan rang-thap cham,11.5667,108.9833,28.81,65,16,0.33,VN,1722820747
98,lihue,21.9789,-159.3672,27.77,70,100,6.69,US,1722820748
99,kingaroy,-26.5333,151.8333,19.31,48,72,3.4,AU,1722820749
100,pointe-noire,-4.7761,11.8635,21.2,84,99,2.07,CG,1722820750
101,grand falls-windsor,48.9332,-55.6649,22.5,88,98,2.71,CA,1722820752
102,katsuren-haebaru,26.3369,127.8719,32.83,68,40,6.17,JP,1722820508
103,miles city,46.4083,-105.8406,31.54,35,0,9.77,US,1722820754
104,mejit,10.2753,170.8646,28.66,79,21,6.68,MH,1722820591
105,yellowknife,62.456,-114.3525,21.29,49,75,5.66,CA,1722820598
106,el parral,16.3675,-93.0058,26.71,93,100,1.43,MX,1722820758
107,jamestown,42.097,-79.2353,22.8,64,0,3.09,US,1722820506
108,vila velha,-20.3297,-40.2925,21.08,97,75,1.54,BR,1722820103
109,saint-pierre,-21.3393,55.4781,18.82,55,20,4.12,RE,1722820761
110,tiksi,71.6872,128.8694,12.65,63,100,5.26,RU,1722820644
111,la ronge,55.1001,-105.2842,20.14,42,100,2.06,CA,1722820764
112,palmer,42.1584,-72.3287,22.68,81,40,1.54,US,1722820765
113,hammerfest,70.6634,23.6821,18.25,63,0,1.54,NO,1722820621
114,atherton,53.5237,-2.4935,16.79,79,13,1.34,GB,1722820767
115,lecheng,25.1238,113.3254,31.76,73,89,0.26,CN,1722820768
116,buenaventura,3.8801,-77.0312,24.19,94,99,0.88,CO,1722820582
117,wailua homesteads,22.0669,-159.378,27.44,71,100,6.69,US,1722820562
118,isangel,-19.55,169.2667,25.06,50,75,2.57,VU,1722820772
119,pisco,-13.7,-76.2167,16.12,88,0,3.09,PE,1722820590
120,lorengau,-2.0226,147.2712,28.13,79,77,3.38,PG,1722820774
121,new norfolk,-42.7826,147.0587,13.73,52,7,3.7,AU,1722820607
122,gorontalo,0.5412,123.0595,29.46,65,100,2.35,ID,1722820777
123,constantia,44.1833,28.65,19.38,72,5,4.22,RO,1722820778
124,dabhol,17.6,73.1667,25.91,90,100,4.99,IN,1722820754
125,san antonio de pale,-1.4014,5.6325,22.19,70,83,2.87,GQ,1722820626
126,fort bragg,35.139,-79.006,25.08,91,75,1.54,US,1722820605
127,tofol,5.3248,163.0078,30.88,66,75,3.09,FM,1722820783
128,sumbawanga,-7.9667,31.6167,12.38,35,1,0.85,TZ,1722820784
129,silkeborg,56.1697,9.5451,12.18,93,100,3.23,DK,1722820785
130,manado,1.487,124.8455,30.43,66,20,2.06,ID,1722820787
131,palikir - national government center,6.9248,158.1611,30.47,74,100,5.66,FM,1722820788
132,zaozersk,69.4005,32.4476,7.16,93,8,2.37,RU,1722820789
133,bridgewater,44.3835,-64.5155,22.84,93,95,5.14,CA,1722820790
134,san martin,-33.081,-68.4681,12.3,24,10,2.13,AR,1722820791
135,quellon,-43.1167,-73.6167,7.46,94,100,3.13,CL,1722820793
136,diebougou,10.9667,-3.25,23.03,92,100,2.43,BF,1722820794
137,sao gabriel da cachoeira,-0.1303,-67.0892,23.97,89,84,0.76,BR,1722820795
138,mont-dore,-22.2833,166.5833,22.78,99,10,5.82,NC,1722820796
139,uturoa,-16.7333,-151.4333,24.69,71,5,7.22,PF,1722820653
140,whitehorse,60.7161,-135.0538,23.94,28,20,2.57,CA,1722820552
141,jefferson city,38.5767,-92.1735,31.61,51,0,1.54,US,1722820800
142,haiku-pauwela,20.9219,-156.3051,29.03,62,20,12.86,US,1722820631
143,saint-philippe,-21.3585,55.7679,18.77,76,31,2.52,RE,1722820803
144,mata-utu,-13.2816,-176.1745,27.0,73,100,3.1,WF,1722820805
145,tual,-5.6667,132.75,25.22,85,86,8.95,ID,1722820806
146,inarajan village,13.2736,144.7484,31.08,85,100,4.9,GU,1722820807
147,knyaze-volkonskoye,48.4642,135.4567,23.19,73,100,3.76,RU,1722820633
148,puttur,12.7667,75.2167,23.06,97,76,0.54,IN,1722820809
149,korla,41.7597,86.1469,30.43,26,16,4.08,CN,1722820810
150,brookings,44.3114,-96.7984,21.77,91,100,5.14,US,1722820637
151,nemuro,43.3236,145.575,15.43,100,100,3.67,JP,1722820411
152,vrangel',42.7297,133.0839,18.71,76,100,6.56,RU,1722820814
153,al ghayzah,16.2079,52.176,24.61,85,27,3.58,YE,1722820815
154,sibolga,1.7427,98.7792,26.58,72,100,0.32,ID,1722820707
155,sandy point town,17.35,-62.8333,27.79,89,20,6.69,KN,1722820818
156,bikenibeu village,1.3673,173.1241,30.98,66,20,3.6,KI,1722820819
157,egilsstadir,65.2653,-14.3948,10.95,82,100,8.75,IS,1722820820
158,mossel bay,-34.1831,22.146,5.96,70,2,5.85,ZA,1722820821
159,betio village,1.358,172.9211,31.02,68,97,6.35,KI,1722820823
160,port augusta,-32.5,137.7667,13.81,62,74,2.31,AU,1722820824
161,labrador city,52.9463,-66.9114,15.1,69,75,4.92,CA,1722820825
162,vila franca do campo,37.7167,-25.4333,23.23,90,2,1.69,PT,1722820826
163,hawaiian paradise park,19.5933,-154.9731,25.73,88,100,7.2,US,1722820544
164,bilibino,68.0546,166.4372,9.49,58,100,3.74,RU,1722820625
165,ixtapa,20.7,-105.2,30.68,70,75,3.6,MX,1722820830
166,hamilton,39.1834,-84.5333,28.82,71,20,2.06,US,1722820245
167,fisterra,42.9049,-9.2629,18.19,93,0,4.15,ES,1722820546
168,east london,-33.0153,27.9116,13.95,51,7,9.44,ZA,1722820769
169,udachny,66.4167,112.4,19.88,44,100,4.81,RU,1722820834
170,woodward,36.4337,-99.3904,34.57,36,0,3.09,US,1722820836
171,kodiak,57.79,-152.4072,11.73,100,100,5.66,US,1722820837
172,konskie,51.1917,20.4061,16.31,95,61,2.27,PL,1722820838
173,spring grove,42.4436,-88.2365,27.55,77,98,2.7,US,1722820840
174,castelbuono,37.932,14.0886,24.14,89,0,0.3,IT,1722820841
175,sukhinichi,54.0999,35.3425,12.62,91,12,2.35,RU,1722820842
176,kastsyukovichy,53.3516,32.0506,15.22,77,86,2.18,BY,1722820843
177,shohimardon,39.9839,71.8028,19.43,50,0,0.71,UZ,1722820844
178,sambava,-14.2667,50.1667,19.22,86,14,4.03,MG,1722820846
179,roma,43.2128,-75.4557,23.71,76,0,2.57,US,1722820847
180,jolo,6.05,121.0167,29.36,69,99,1.48,PH,1722820848
181,badger,64.8,-147.5333,23.95,51,0,3.09,US,1722820597
182,qaqortoq,60.7167,-46.0333,6.61,80,0,2.74,GL,1722820742
183,thompson,55.7435,-97.8558,20.09,40,20,2.06,CA,1722820853
184,behbahan,30.5959,50.2417,31.38,16,0,1.72,IR,1722820854
185,rabo de peixe,37.8,-25.5833,22.73,88,20,1.54,PT,1722820855
186,ares,-6.1944,-35.1603,22.05,90,40,3.73,BR,1722820856
187,del rio,29.3627,-100.8968,28.22,57,40,4.12,US,1722820857
